threshold accuracy precision recall FPR
0.01 0.69 0.34120571783716597 0.9074380165289256 0.35392320534223703
0.1 0.8622222222222222 0.5700514138817481 0.7330578512396694 0.11168614357262104
0.2 0.8761111111111111 0.6174298375184638 0.6909090909090909 0.08647746243739567
0.3 0.8811805555555555 0.6421981548335339 0.6615702479338843 0.07445742904841403
0.4 0.8840277777777777 0.6619170984455959 0.6334710743801653 0.06535893155258765
0.5 0.8886805555555556 0.690088413215449 0.6128099173553719 0.055592654424040065
0.6 0.8909027777777778 0.7142857142857143 0.5847107438016529 0.04724540901502504
0.7 0.8902083333333334 0.7366046249294981 0.5396694214876033 0.03898163606010017
0.8 0.886875 0.7810945273631841 0.4541322314049587 0.025709515859766278
0.9 0.8559027777777778 0.837573385518591 0.1768595041322314 0.006928213689482471
